id,created_at,text,retweet_count,favorite_count
1047844404222775297,2018-10-04 13:42:28,https://t.co/n5bDyhU7M1,399,3372
1047715431664906240,2018-10-04 05:09:59,https://t.co/tL6YOdzO6q,1935,14025
1047603254308364288,2018-10-03 21:44:14,https://t.co/HxaBDteHmC,566,4271
1047572291939422208,2018-10-03 19:41:12,https://t.co/8dnSUq2BGB,329,3260
1047571877051359232,2018-10-03 19:39:33,https://t.co/ykJBI5sp2w,356,2823
1047571470669377536,2018-10-03 19:37:56,https://t.co/ivHTfui2TC,353,2902
1047570941549543424,2018-10-03 19:35:50,https://t.co/4HrbQk5r6E,427,2762
1047570440690970625,2018-10-03 19:33:50,https://t.co/6DkTr1dC4q,252,2351
1047569939492552704,2018-10-03 19:31:51,https://t.co/EDVNNejcsT,303,2620
1047568231320281090,2018-10-03 19:25:03,https://t.co/m1CDyvsnIj,280,3377
1047566843894882304,2018-10-03 19:19:33,https://t.co/2LU5NdbE7x,351,4455
1047566552436858881,2018-10-03 19:18:23,we're at Pitbulls school SLAM https://t.co/byhISS7jPL,448,4139
1047566207245676544,2018-10-03 19:17:01,reaching out to Colin Kaepernick. I would like you to speak with the president to tell him your experience directly… https://t.co/W3plZPlLiP,8890,61903
1047479529810194432,2018-10-03 13:32:35,"We have to operate as one eco system. 

Poly Plastic in clothes get released into the environment when we wash those clothes",1404,13780
1047479479495417858,2018-10-03 13:32:23,sitting here talking with my dad about issues with plastic. proposing initiatives/solutions. Use glass bottles/recy… https://t.co/hnkg7p5LfE,2393,24283
1047479214704799745,2018-10-03 13:31:20,https://t.co/wgImASxi7I,1854,11749
1047333506777403392,2018-10-03 03:52:21,"Why Do Inmates Fight Wildfires for Dollars a Day? The Origins of Prison Slavery in America.
https://t.co/sYLiQAHXv8",1762,8237
1047312857379921920,2018-10-03 02:30:17,https://t.co/orKDyDKKJg,603,3820
1047272084454309888,2018-10-02 23:48:16,https://t.co/EKIT3umtyM,777,7803
1047268925505826816,2018-10-02 23:35:43,bedrock Detroit https://t.co/57m9pwKD2B,1280,10065
1047262655994425344,2018-10-02 23:10:49,@DetroitBruce gave me this watch 🙏🙏🙏 @shinola https://t.co/N3cTdUxVbL,49,408
1047257652433117184,2018-10-02 22:50:56,"overcome fear

My dad and I are going to eat this plate of bugs to celebrate him beating cancer. No more fear https://t.co/b3ywEX13v2",7252,64777
1047241131656769536,2018-10-02 21:45:17,where’s the flying car department? Dan Gilbert,1011,11111
1047241035330408448,2018-10-02 21:44:54,https://t.co/VchXm0rZvD,604,5222
1047210794897760257,2018-10-02 19:44:44,https://t.co/64ouji20rb,1548,12393
1047205939437166592,2018-10-02 19:25:26,https://t.co/G5zbVyBPj2,556,5042
1047191662064103424,2018-10-02 18:28:42,trying is lying - Dan Gilbert,1654,10286
1047191527099752449,2018-10-02 18:28:10,https://t.co/Tm3fHlDbt2,463,5264
1047162783832260608,2018-10-02 16:33:57,home is where the heart is,28412,102993
1046802232576901120,2018-10-01 16:41:15,"RT @realDonaldTrump: Like many, I don’t watch Saturday Night Live (even though I past hosted it) - no longer funny, no talent or charm. It…",46620,0
1046802196388446210,2018-10-01 16:41:06,"Thank you Washington post
https://t.co/y8BcgVp8Lk",4278,25495
1046569585539919873,2018-10-01 01:16:48,meeting with Big U and the Developing Options organization and the Crenshaw Rams football team https://t.co/2dvisPJFpK,1137,11380
1046533697548124160,2018-09-30 22:54:11,Amer-I-Can https://t.co/OVWuRqs6qv,2624,21944
1046533107359203328,2018-09-30 22:51:51,Meeting with members of Jim Browns Amer-I-Can program https://t.co/FIiaeAH0Q4,1057,9540
1046495010500182016,2018-09-30 20:20:28,"not abolish but. let’s amend the 13th amendment 

We apply everyone’s opinions to our platform",2166,20325
1046490057522085888,2018-09-30 20:00:47,the 13th Amendment is slavery in disguise     meaning it never ended    We are the solution that heals,5262,31854
1046476706087747585,2018-09-30 19:07:43,so lit 🔥🔥🔥 https://t.co/aqKIfBRUMx,12439,92208
1046466533973590016,2018-09-30 18:27:18,this represents good and America becoming whole again.  We will no longer outsource to other countries. We build fa… https://t.co/AezJB97tMM,29497,124113
1046463566369320960,2018-09-30 18:15:31,no more cancel culture,6183,41699
1046463416502706176,2018-09-30 18:14:55,Miuccia Prada is one my earth moms and I need to meet her in the next 2 weeks #facts,483,6333
1046460696655884289,2018-09-30 18:04:07,by the way Unprogrammed is a new word,2435,17014
1046460548232011776,2018-09-30 18:03:31,"just reached HARVEY we’re going to TMZ 2mrw morning 100 strong. We need strong beings dancers. Unprogrammed to bring love 

#wegotlove",848,8959
1046459496732667904,2018-09-30 17:59:20,there is no such thing as one sides.  There’s infinite sides,3974,24428
1046452160307769346,2018-09-30 17:30:11,Pardison Fontaine wrote the Violent Crimes verses. I changed 2 lines. He wrote the entire song though. Cyhi Cons Pa… https://t.co/hMA1jTMsmH,1909,15093
1046432675819487232,2018-09-30 16:12:46,We also work for Eddie Q😊 and all 123 thousand 🍎 crew members,594,8847
1046429242764849152,2018-09-30 15:59:07,I will never be Steve. I will always be YE. We are here in service to Steve’s vision. Let’s make the planet 🍎 level,2406,26360
1046429190071832576,2018-09-30 15:58:55,YZY Is a for purpose (non profit) arm (branch) of Apple.  We unofficially work for Steve Johnny Tim and Lorraine.… https://t.co/WiFwTdxsaW,1227,14007
1046425913947115522,2018-09-30 15:45:54,had so much fun at SNL. Lorne agreed that I would host before the year is out. Need to set a date. Gonna be soooooo… https://t.co/tk3yWLDHM9,5676,54536
1046408734577061889,2018-09-30 14:37:38,😂😂😂 https://t.co/chUjeXmLRi,28996,189825
1046159436107018240,2018-09-29 22:07:00,pull up with the YZY slides https://t.co/MClKJVJ4nq,13127,94403
1046064289944080388,2018-09-29 15:48:56,"the being formally known as Kanye West   

I am YE",42764,231599
1046010903718551553,2018-09-29 12:16:48,nino blu https://t.co/Mk9IlU6AcZ,8979,52734
1045501118099279872,2018-09-28 02:31:05,let me put this in context. My reference to the word NO is never letting people stop your ambitions and dreams. As… https://t.co/bHvieO7LDB,4199,21815
1045467035717664768,2018-09-28 00:15:39,my favorite graphic ever. No more no’s   by Cali https://t.co/jaAw5jC3fk,1274,13489
1045445320027435013,2018-09-27 22:49:22,https://t.co/dDhrjO8Xp0,572,5653
1045440216687759360,2018-09-27 22:29:05,https://t.co/sH7sq5UxDB,1311,14005
1045440011452133376,2018-09-27 22:28:16,https://t.co/rICnq4VnLF,452,5810
1045439888256950273,2018-09-27 22:27:47,https://t.co/xAFnIdfi5z,533,6974
1045438185415688193,2018-09-27 22:21:01,SNL https://t.co/VZuaffZwCR,10198,77121
1045437452700200960,2018-09-27 22:18:06,we got love https://t.co/t0Ff8VhOvA,1482,17654
1045415959551307776,2018-09-27 20:52:42,"YANDHI 9 29 18 

YANDHI IS RELEASING THIS SATURDAY https://t.co/ysqMrtc1RP",49124,143301
1045401352271159298,2018-09-27 19:54:39,We need Apple geniuses to aid us in making this happen. I also envision all TV shows and movies being shot on IPhon… https://t.co/krG07NLYeI,1026,12365
1045401286231769088,2018-09-27 19:54:23,I see YZY as an arm of Apple    I’m at SNL rehearsal and we’re “trying” to have the performance shot on an IPhone… https://t.co/aPtFsVl4mU,836,9438
1045399840287469568,2018-09-27 19:48:39,YZY is becoming a for purpose service organization,866,9230
1045399770070564864,2018-09-27 19:48:22,not for profit is now for purpose,1776,13064
1045397388137914368,2018-09-27 19:38:54,CHICAGO STATE colored adidas socks 🧦 https://t.co/stekcBS7hs,984,11286
